N.,DESCRIPCION,Precio + IVA,,,,,,,,,,,,,,,,,,,,,,
174,BROCA M/ TOLSEN P/ HIERRO T/ PIRAMIDE D/ TITANIUM D/  4 -32 MM X 2MM ,75873,244.90,,,,,,,,,,,,,,,,,,,,,,
175,JUEGO D/ BROCAS M/ TOLSEN P/ HIERRO T/ PIRAMIDE D/ TITANIUM D/ 5PCS ,75879,791.45,,,,,,,,,,,,,,,,,,,,,,
176,"DISCO M/ TOLSEN P/ CORTAR HIERRO D/ 1.6MM X 7/8"" X 7"" ",76105,32.88,,,,,,,,,,,,,,,,,,,,,,
177,"DISCO M/ TOLSEN P/ CORTAR HIERRO D/ 1.0MM X 7/8"" X 4 1/2"" ",76132,11.95,,,,,,,,,,,,,,,,,,,,,,
178,"CEPILLO D/ ALAMBRE M/ TOLSEN T/ INDUSTRIAL P/ TALADRO D/ 1"" - 24MM ",77546,20.91,,,,,,,,,,,,,,,,,,,,,,
179,"CUBO M/ TOLSEN P/ TALADRO C/ IMAN D/ 1/4"" X 5/16"" JUEGO D/ 3PCS ",77831,36.44,,,,,,,,,,,,,,,,,,,,,,
180,"CUBO M/ TOLSEN P/ TALADRO C/ IMAN D/ 3/8"" X 1/4"" ",77832,37.63,,,,,,,,,,,,,,,,,,,,,,
181,"PORTA PUNTAS M/ TOLSEN D/ 1/4"" 77861",26.28,,,,,,,,,,,,,,,,,,,,,,
182,"ADAPTADOR M/ TOLSEN P/ PUNTAS C/ SEGURO RAPIDO D/ 1/4"" X 60MM ",77863,59.73,,,,,,,,,,,,,,,,,,,,,,
183,"ADAPTADOR M/ TOLSEN P/ TALADRO D/ 1/4"" - 3/8"" - 1/2"" ",77864,40.62,,,,,,,,,,,,,,,,,,,,,,
184,"MANDRIL M/ TOLSEN P/ TALADRO C/ LLAVE D/ 1/2"" ",79161,87.81,,,,,,,,,,,,,,,,,,,,,,
185,"MANDRIL M/ TOLSEN P/ TALADRO S/ LLAVE D/ 3/8"" ",79170,69.29,,,,,,,,,,,,,,,,,,,,,,
186,"MANDRIL M/ TOLSEN P/ TALADRO S/ LLAVE D/ 1/2"" ",79171,97.36,,,,,,,,,,,,,,,,,,,,,,
187,"LLAVE M/ TOLSEN P/ MANDRIL D/ 3/8"" ",79180,17.32,,,,,,,,,,,,,,,,,,,,,,
188,"LLAVE M/ TOLSEN P/ MANDRIL D/ 1/2"" ",79181,22.10,,,,,,,,,,,,,,,,,,,,,,
